person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
P00001,55-64,Man,North,Urban,45.0,5.3,0
P00002,35-44,Man,South,Urban,66.3,5.5,0
P00003,25-34,Man,North,Rural / small town,78.6,6.0,0
P00004,35-44,Woman,London,Urban,83.6,7.2,1
P00005,65-74,Woman,South,Urban,57.8,5.2,0
P00006,35-44,Woman,London,Urban,55.8,3.6,0
P00007,65-74,Woman,North,Urban,45.2,2.6,0
P00008,55-64,Man,Midlands,Urban,69.0,4.1,0
P00009,18-24,Man,South,Rural / small town,66.9,3.5,0
P00010,65-74,Man,North,Urban,46.7,4.1,0
P00011,45-54,Woman,Midlands,Urban,60.1,7.4,1
P00012,65-74,Man,North,Rural / small town,43.0,0.9,0
P00013,65-74,Man,Midlands,Rural / small town,27.2,2.6,0
P00014,55-64,Man,North,Urban,77.1,0.9,0
P00015,35-44,Woman,Scotland/Wales,Urban,57.2,6.4,0
P00016,35-44,Woman,South,Urban,60.0,3.0,0
P00017,55-64,Woman,Midlands,Urban,60.7,2.5,0
P00018,45-54,Woman,London,Rural / small town,30.4,3.1,0
P00019,45-54,Woman,North,Rural / small town,39.7,2.9,0
P00020,45-54,Non-binary / other,North,Urban,54.4,3.5,0
P00021,65-74,Man,South,Rural / small town,31.8,3.2,0
P00022,25-34,Man,Midlands,Urban,79.7,7.4,1
P00023,25-34,Woman,Scotland/Wales,Urban,59.7,5.1,0
P00024,65-74,Woman,London,Urban,47.9,2.7,0
P00025,45-54,Man,North,Urban,69.7,5.0,0
P00026,35-44,Man,Midlands,Urban,58.1,5.1,0
P00027,55-64,Woman,North,Urban,60.5,4.0,0
P00028,55-64,Woman,North,Rural / small town,33.9,1.2,0
P00029,35-44,Woman,Midlands,Urban,76.5,5.5,0
P00030,55-64,Woman,South,Urban,69.1,4.3,0
P00031,18-24,Woman,Midlands,Rural / small town,83.4,5.7,0
P00032,18-24,Woman,North,Urban,77.8,4.8,0
P00033,55-64,Woman,South,Urban,49.9,4.8,0
P00034,35-44,Man,Midlands,Urban,92.9,8.2,1
P00035,35-44,Woman,North,Urban,80.7,5.9,0
P00036,35-44,Man,South,Urban,77.3,3.6,0
P00037,45-54,Man,South,Urban,81.8,5.5,0
P00038,18-24,Man,Midlands,Rural / small town,87.1,6.0,0
P00039,65-74,Man,London,Urban,58.2,3.3,0
P00040,25-34,Woman,North,Rural / small town,78.7,4.9,0
P00041,45-54,Man,Scotland/Wales,Rural / small town,49.0,5.4,0
P00042,65-74,Man,London,Urban,78.4,5.2,0
