strategy,variable,category,population_share,sample_share,difference_pp,absolute_difference_pp
Simple random,age_band,25-34,0.1993,0.2125,1.319999999999999,1.319999999999999
Simple random,age_band,35-44,0.19098,0.1725,-1.8480000000000025,1.8480000000000025
Simple random,age_band,45-54,0.1808,0.165,-1.579999999999998,1.579999999999998
Simple random,age_band,55-64,0.17128,0.19375,2.2470000000000017,2.2470000000000017
Simple random,age_band,65-74,0.13772,0.12,-1.7720000000000014,1.7720000000000014
Simple random,age_band,18-24,0.11992,0.13625,1.6330000000000011,1.6330000000000011
Simple random,gender,Woman,0.49938,0.495,-0.4379999999999995,0.4379999999999995
Simple random,gender,Man,0.47962,0.49125,1.163000000000003,1.163000000000003
Simple random,gender,Non-binary / other,0.021,0.01375,-0.7250000000000001,0.7250000000000001
Simple random,region,North,0.26832,0.265,-0.33199999999999896,0.33199999999999896
Simple random,region,South,0.2523,0.25375,0.14499999999999513,0.14499999999999513
Simple random,region,Midlands,0.20844,0.20125,-0.7189999999999974,0.7189999999999974
Simple random,region,Scotland/Wales,0.1404,0.14625,0.5849999999999994,0.5849999999999994
Simple random,region,London,0.13054,0.13375,0.32100000000000184,0.32100000000000184
Proportional stratified,age_band,25-34,0.1993,0.2,0.07000000000000062,0.07000000000000062
Proportional stratified,age_band,35-44,0.19098,0.19125,0.026999999999999247,0.026999999999999247
Proportional stratified,age_band,45-54,0.1808,0.18,-0.07999999999999952,0.07999999999999952
Proportional stratified,age_band,55-64,0.17128,0.1725,0.12199999999999989,0.12199999999999989
Proportional stratified,age_band,65-74,0.13772,0.1375,-0.021999999999999797,0.021999999999999797
Proportional stratified,age_band,18-24,0.11992,0.11875,-0.11700000000000044,0.11700000000000044
Proportional stratified,gender,Woman,0.49938,0.485,-1.4380000000000004,1.4380000000000004
Proportional stratified,gender,Man,0.47962,0.495,1.5380000000000005,1.5380000000000005
Proportional stratified,gender,Non-binary / other,0.021,0.02,-0.10000000000000009,0.10000000000000009
Proportional stratified,region,North,0.26832,0.2675,-0.08199999999999874,0.08199999999999874
Proportional stratified,region,South,0.2523,0.2525,0.019999999999997797,0.019999999999997797
Proportional stratified,region,Midlands,0.20844,0.20875,0.03100000000000047,0.03100000000000047
Proportional stratified,region,Scotland/Wales,0.1404,0.14,-0.03999999999999837,0.03999999999999837
Proportional stratified,region,London,0.13054,0.13125,0.07100000000000162,0.07100000000000162
Quota,age_band,25-34,0.1993,0.19875,-0.054999999999999494,0.054999999999999494
Quota,age_band,35-44,0.19098,0.19125,0.026999999999999247,0.026999999999999247
Quota,age_band,45-54,0.1808,0.18125,0.045000000000000595,0.045000000000000595
Quota,age_band,55-64,0.17128,0.17125,-0.002999999999997449,0.002999999999997449
Quota,age_band,65-74,0.13772,0.1375,-0.021999999999999797,0.021999999999999797
Quota,age_band,18-24,0.11992,0.12,0.007999999999999674,0.007999999999999674
Quota,gender,Woman,0.49938,0.5,0.06200000000000094,0.06200000000000094
Quota,gender,Man,0.47962,0.48,0.037999999999999146,0.037999999999999146
Quota,gender,Non-binary / other,0.021,0.02,-0.10000000000000009,0.10000000000000009
Quota,region,North,0.26832,0.26,-0.8319999999999994,0.8319999999999994
Quota,region,South,0.2523,0.25625,0.39499999999999535,0.39499999999999535
Quota,region,Midlands,0.20844,0.20875,0.03100000000000047,0.03100000000000047
Quota,region,Scotland/Wales,0.1404,0.13625,-0.4149999999999987,0.4149999999999987
Quota,region,London,0.13054,0.13875,0.8210000000000023,0.8210000000000023
Convenience,age_band,25-34,0.1993,0.29375,9.445,9.445
Convenience,age_band,35-44,0.19098,0.2125,2.1519999999999984,2.1519999999999984
Convenience,age_band,45-54,0.1808,0.165,-1.579999999999998,1.579999999999998
Convenience,age_band,55-64,0.17128,0.08125,-9.002999999999998,9.002999999999998
Convenience,age_band,65-74,0.13772,0.035,-10.272,10.272
Convenience,age_band,18-24,0.11992,0.2125,9.258,9.258
Convenience,gender,Woman,0.49938,0.475,-2.4380000000000015,2.4380000000000015
Convenience,gender,Man,0.47962,0.50125,2.1629999999999985,2.1629999999999985
Convenience,gender,Non-binary / other,0.021,0.02375,0.2749999999999999,0.2749999999999999
Convenience,region,North,0.26832,0.28625,1.7930000000000001,1.7930000000000001
Convenience,region,South,0.2523,0.2225,-2.980000000000002,2.980000000000002
Convenience,region,Midlands,0.20844,0.22375,1.531000000000002,1.531000000000002
Convenience,region,Scotland/Wales,0.1404,0.1175,-2.2900000000000005,2.2900000000000005
Convenience,region,London,0.13054,0.15,1.9460000000000006,1.9460000000000006
