strategy,person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
Simple random,P27835,18-24,Woman,North,Rural / small town,73.8,6.5,0
Simple random,P22057,25-34,Woman,South,Rural / small town,66.6,2.8,0
Simple random,P23230,25-34,Woman,South,Rural / small town,49.9,5.9,0
Simple random,P27723,65-74,Woman,Scotland/Wales,Urban,51.3,3.5,0
Simple random,P05354,65-74,Man,Midlands,Rural / small town,31.5,0.0,0
Simple random,P39111,35-44,Man,Midlands,Rural / small town,80.7,3.8,0
Simple random,P39681,25-34,Woman,London,Urban,78.2,5.3,0
Simple random,P28487,55-64,Man,North,Urban,48.3,3.9,0
Simple random,P27670,65-74,Woman,North,Urban,23.5,1.8,0
Simple random,P20366,45-54,Man,Midlands,Urban,69.3,5.8,0
Simple random,P32572,35-44,Woman,London,Urban,73.4,4.1,0
Simple random,P29991,65-74,Woman,London,Urban,45.8,3.2,0
Simple random,P07965,35-44,Man,South,Urban,77.1,8.8,1
Simple random,P15570,45-54,Man,South,Urban,79.7,3.3,0
Simple random,P06598,25-34,Woman,North,Urban,81.3,5.6,0
Simple random,P41066,45-54,Woman,Midlands,Urban,65.2,5.7,0
Simple random,P01190,55-64,Man,Scotland/Wales,Rural / small town,25.0,1.5,0
Simple random,P21273,65-74,Woman,Midlands,Urban,41.8,5.8,0
Simple random,P22308,65-74,Man,South,Urban,35.5,2.9,0
Simple random,P05146,55-64,Man,Midlands,Urban,21.6,2.8,0
Simple random,P36480,25-34,Man,North,Rural / small town,41.5,8.0,1
Simple random,P32371,35-44,Man,Midlands,Rural / small town,68.5,5.3,0
Simple random,P03973,65-74,Man,London,Urban,49.4,4.6,0
Simple random,P28564,55-64,Non-binary / other,London,Urban,52.2,5.3,0
Simple random,P26198,25-34,Woman,London,Urban,93.9,8.2,1
Simple random,P37867,35-44,Woman,Scotland/Wales,Rural / small town,59.5,3.6,0
Simple random,P46621,55-64,Woman,South,Rural / small town,51.3,5.4,0
Simple random,P34096,25-34,Man,London,Urban,87.1,7.9,1
